RuleSet	Average Value,	Connectedness	Chaos
634	47.123	2.7280000000000000	41.133
635	48.877	1.8370000000000000	41.677
636	52.659	0.9369999999999980	44.109
637	52.339	1.0850000000000000	43.2
638	53.126	0.6039999999999990	43.955
639	89.51	0.45999999999999400	0.186
640	77.882	-1.946000000000000	6.758
641	95.75	1.267000000000000	0.205
642	64.026	1.3020000000000100	41.786
643	61.51	2.4000000000000000	43.206
644	65.018	1.3690000000000000	42.445
645	95.418	0.9839999999999950	0.122
646	71.475	4.048000000000000	34.893
647	98.31	1.063999999999990	0.09
648	76.224	-1.351000000000000	0.0
649	71.757	-3.5970000000000100	0.0
650	80.518	1.2270000000000000	0.0
651	63.891	-7.153000000000000	0.077
652	64.678	-7.096999999999990	0.141
653	61.67	-7.473000000000000	0.186
654	90.016	1.1540000000000000	0.0
655	74.374	-2.5080000000000000	2.394
656	94.477	1.9479999999999900	0.0
657	56.218	-12.758000000000000	0.48
658	56.486	-12.682000000000000	0.531
659	55.718	-13.211000000000000	0.282
660	56.672	-12.465000000000000	2.086
661	56.544	-12.911000000000000	2.285
662	55.546	-12.740000000000000	2.803
663	61.965	-2.308000000000010	23.878
664	61.306	-1.6699999999999900	26.72
665	63.482	-1.6840000000000000	26.573
666	86.304	-0.1980000000000080	0.0
667	76.87	-3.5900000000000000	0.71
668	93.722	1.4150000000000100	0.0
669	69.926	-6.345000000000000	6.592
670	68.531	-5.298000000000010	10.656
671	70.778	0.05299999999999730	29.299
672	94.381	0.8259999999999930	0.0
673	78.176	-2.2630000000000100	7.194
674	98.349	1.0260000000000000	0.0
675	58.067	-1.2690000000000000	24.634
676	55.251	-5.726000000000000	21.043
677	59.949	0.34900000000000400	27.77
678	53.446	-4.561	24.966
679	53.67	-2.764000000000000	27.488
680	54.906	-2.365000000000000	28.73
681	65.613	3.2380000000000000	28.742
682	60.563	0.6789999999999950	33.574
683	68.384	4.212000000000000	25.76
684	51.373	3.7080000000000100	38.042
685	50.912	4.506	39.718
686	51.341	3.2990000000000000	38.854
687	47.04	8.082	41.261
688	45.312	9.105000000000000	43.078
689	46.406	7.199000000000000	40.666
690	52.826	4.236000000000000	43.974
691	51.61	4.855000000000000	45.312
692	53.6	3.6940000000000000	44.378
693	76.211	3.3200000000000100	21.267
694	63.091	1.0080000000000000	38.432
695	93.043	2.2009999999999900	4.166
696	59.43	2.1240000000000000	43.578
697	57.037	3.7560000000000000	44.966
698	60.134	1.9540000000000000	45.062
699	94.893	1.4030000000000100	0.954
700	67.098	1.3100000000000000	41.779
701	97.574	1.4620000000000000	0.723
702	88.211	0.4309999999999970	0.0
703	76.051	-3.416000000000000	1.242
704	93.254	1.5719999999999900	0.0
705	64.966	-8.614000000000000	1.325
706	65.978	-6.593000000000000	7.13
707	62.381	-9.498000000000000	1.478
708	93.382	0.7329999999999900	0.0
709	78.912	-2.4150000000000100	6.093
710	98.042	1.054000000000000	0.0
711	66.765	2.0759999999999900	32.672
712	64.205	3.0450000000000000	37.075
713	68.211	2.416000000000000	34.81
714	58.042	7.030999999999990	45.363
715	54.349	11.029000000000000	45.267
716	59.744	7.2380000000000000	48.032
717	69.626	2.628	37.51
718	64.928	4.451000000000010	44.269
719	70.477	2.096999999999990	39.386
720	94.746	0.7920000000000020	0.0
721	76.87	-2.9450000000000100	5.306
722	97.485	1.0490000000000100	0.0
723	72.774	4.101000000000000	35.283
724	63.302	10.990000000000000	43.974
725	75.546	3.3660000000000000	38.605
726	97.562	1.0040000000000000	0.0
727	76.109	1.733000000000000	23.917
728	98.406	0.9359999999999930	0.0
729	36.198	14.942	0.0
730	36.544	14.174000000000000	0.0
731	36.122	16.066000000000000	0.0
732	31.514	14.447	0.0
733	32.435	14.285000000000000	0.0
734	31.968	14.353000000000000	0.013
735	39.142	17.476	0.0
736	38.381	14.86	0.154
737	41.043	17.03	0.0
738	18.298	15.201000000000000	0.0
739	16.448	14.126000000000000	0.0
740	17.12	14.763000000000000	0.0
741	15.718	12.544	0.0
742	16.749	12.937000000000000	0.0
743	15.962	11.694000000000000	0.0
744	17.261	14.177	0.026
745	16.742	14.465	0.026
746	16.48	14.729	0.045
747	50.797	18.36200000000000	0.0
748	44.992	14.405000000000000	0.077
749	49.254	19.35	0.0
750	36.16	16.044000000000000	0.288
751	33.837	17.095	0.154
752	33.722	17.338	0.742
753	52.838	20.604000000000000	0.0
